category,source_url,article_url,title,date,image,writer
World News,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/ethiopia-completes-third-direct-livestock-export-shipment-to-saudi-arabia/,Ethiopia Completes Third Direct Livestock Export Shipment to Saudi Arabia,"May 19, 2026",,"Wondesen AregahegnDec 20, 20230"
World News,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/ethiopia-pushes-for-expanded-european-investment-as-ethiopia-benelux-business-forum-opens-in-luxembourg/,Ethiopia Pushes for Expanded European Investment as Ethiopia-Benelux Business Forum Opens in…,"May 19, 2026",,"Wondesen AregahegnDec 20, 20230"
World News,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/made-in-ethiopia-expo-generates-over-57-billion-birr-in-business-agreements/,‘Made in Ethiopia’ Expo Generates Over 57 Billion Birr in Business Agreements,"May 9, 2026",,"Wondesen AregahegnDec 20, 20230"
World News,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/minister-says-ethiopia-entering-new-era-of-locally-engineered-industrial-production/,Minister Says Ethiopia Entering New Era of Locally Engineered Industrial Production,"May 8, 2026",,"Wondesen AregahegnDec 20, 20230"
World News,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/minister-made-in-ethiopia-expo-projected-to-attract-150000-visitors-and-generate-over-5-billion-birr-in-trade-deals/,"Minister: “Made in #Ethiopia” Expo Projected to Attract 150,000 Visitors and Generate…","May 2, 2026",,"Wondesen AregahegnDec 20, 20230"
World News,https://www.fanabc.com/english/category/business/,https://www.fanamc.com/english/%f0%9f%87%aa%f0%9f%87%b9-industrial-reform-after-agoa-exit-reshaped-ethiopias-energy-and-manufacturing-strategy-pm-abiy-ahmed/,🇪🇹 Industrial Reform After AGOA Exit Reshaped #Ethiopia’s Energy and Manufacturing Strategy – PM…,"Apr 27, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/uefa-assigns-somali-referee-omar-artan-to-super-cup-after-recent-world-cup-snub/,UEFA Assigns Somali Referee Omar Artan to Super Cup After Recent World Cup Snub,"Jun 11, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/au-commission-backs-africas-10-world-cup-representatives-hails-record-continental-presence/,"AU Commission Backs Africa’s 10 World Cup Representatives, Hails Record Continental…","Jun 10, 2026",,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/historic-world-cup-debut-in-jeopardy-as-somali-referee-reportedly-denied-u-s-entry/,Historic World Cup Debut in Jeopardy as Somali Referee…,,,"Wondesen AregahegnDec 20, 20230"
Sport,https://www.fanabc.com/english/category/sport/,https://www.fanamc.com/english/denmark-confirm-midfielder-christian-eriksen-stable-after-on-pitch-incident-against-ukraine/,Denmark Confirm Midfielder Christian Eriksen Stable…,,,"Wondesen AregahegnDec 20, 20230"
